"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"4676",20575,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Second Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4677",20576,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Third Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4678",20577,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4679",20578,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4680",20579,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4681",20580,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4682",20581,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4683",20582,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4684",20583,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4685",20584,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eleventh Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4686",20585,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4687",20586,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant at the Request of the Chinese Government",1870,NA,NA,NA,NA,NA,NA,"",NA
"4688",20587,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4689",20588,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4690",20589,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4691",20590,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part one",1870,NA,NA,NA,NA,NA,NA,"",NA
