1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948
" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";" ""Haiti"", (withdrew April 1942)";;;;;;
" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";" ""Honduras"", (withdrew 10 July 1936)";;;;;;;;;;;;
 Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937); Kingdom of Italy (withdrew 11 December 1937);;;;;;;;;;;
 Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933); Empire of Japan (withdrew 27 March 1933);;;;;;;;;;;;;;;
 Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia; Liberia
 Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands; Netherlands
 Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936); Nicaragua (withdrew 27 June 1936);;;;;;;;;;;;
 Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway; Norway
 Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama; Panama
 Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935); Paraguay (withdrew 23 February 1935);;;;;;;;;;;;;
 Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934); Persia (known as Iran from 1934);;;;;;;;;;;;;;
 Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939); Peru (withdrew 8 April 1939);;;;;;;;;
 Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland; Poland
 Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal
 Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940); Romania (withdrew July 1940);;;;;;;;
 Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939); Siam (known as Thailand from 1939);;;;;;;;;
 Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939); Spain (withdrew May 1939);;;;;;;;;
 Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden; Sweden
  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland;  Switzerland
 Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay
 Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938);;;;;;;;;;
