"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Candido Sabini","","","","","6","","","","","","","","","","","","","","","","","","","","","","","",""
"Candido Sahini","","","","","6","","","","","","","","","","","","","","","","","","","","","","","",""
"Capitaine Francois Monroe","","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","",""
"Captain Alan Gordon Finley","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","",""
"Captain Blennerhassett","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captain C. Buckle","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captain Jean-Baptist Charles Grandiere","","","","","","","","","","","","6","6","","","","","","","","","","","","","","","",""
"Captain Ugo Leone","","6","6","6","6","6","6","6","","","","","","","","","","","","","","","","","","","","",""
"Captain Walter Peirce","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captain Williams Oakley","","","","","7","","","","","","","","","","","","","","","","","","","","","","","",""
"Carin Hermelin","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Carl Doka","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Carl Prausnitz","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"Carlile Aylmer MacCartney","","","","","","","","","7","","","","","","","","","","","","","","","","","","","",""
"Carlo Perrone Capano","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Carlos Garcia Palacios","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Carmen Marcelle Louise Naccary-Milau","","","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"Carol Albert Dienesch","","","","8","8","7","7","","","","","","","","","","","","","","","","","","","","","",""
"Catherine Pastuhov née Ouvaroff","","","7","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cecil von Renthe-Fink","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Cecilia Bernardine Oppenheimer","6","6","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","","",""
"Cecily Graham Babington","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6"
"Champenois","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Charles Anthony Woodward Manning","","","","","","","0.5","0.5","","0.5","8","","","","","","","","","","","","","","","","","",""
"Charles Blackman","","","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","",""
