"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Elemér de Radisics","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Emil Otto Hauswirth","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","",""
"Emile Giraud","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Emilio Pampana","","","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","",""
"Emlie Léon Henneberger","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","9","9","9","9",""
"Enrique  Munguia","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Eric Ibbetson James","","8","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Erik Andreas Colban","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","",""
"Erik Einan Ekstrand ","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","","","","","","","",""
"Ernest Morgan Ward","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Ernest Sindefield Harston","","","","","","","","","","6","6","9","9","","","","","","","","","","","","","","","",""
"Ernest W. H. Jackman","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Essy Hjördis Lehmann","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Eugéne  Catargi","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eugène  Derobert","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Eugène Henri René  Vigier","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10, 9","10, 9","10, 9","10, 9","10, 9","10, 9","10, 9","10, 9","10, 9",""
"Eugène Xammar","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eva Henriette Aubert","","","","","","6","6","6","","","","","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Evelyne Meylan","","","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Félice Arcoleo","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","","","","",""
"Felix Vejarano","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","","",""
"Fernando Correia Pereira da Silva","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","",""
"Finn Tage Blichfeldt Friis","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Florian Delhorbe","","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Francis Colt de Wolf","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Franck Louis Schoell","","","","","","","","","9","9","9","9","7","7","7","7","7","7","7","7","7","7","","","","","","",""
"Franco Bruno Averardi","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Frank Horsfall Nixon","","","9","9","9","","","","","","","","","","","","","","","","","","","","","","","",""
"Frank Paul Walters","","8","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","","","","","","","","","","","","","",""
"Frédéric Blondeel","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Frederic Rupert Hapgood","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","","","","","","","",""
"Friederich von Arnauld de la Periere","","","","","","","","","","","","6","6","6","6","6","","","","","","","","","","","","",""
"Fritz Betz","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Fritz Schnabel","","","","","","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","",""
"Fulvio Zugaro","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gabrielle Jeanne Anne Marie Radziwill","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","",""
"Gabrielle Juncker-Rohde","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","",""
"Gaston A.  Vetch","","","","","","","8","8","8","","","","","","","","","","","","","","","","","","","",""
"Geoffrey Pomeroy  Dennis","","","","","","","","","","","","","9","9","9","9","9","9","9","","","","","","","","","",""
"Georg F. Preihs","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","",""
"George Douglas Millar","","","","","","","","","","","","","","","","","","","","9","9","9","","","","","","",""
"George Herbert Mair","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georges Djura Popovitch","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","",""
"Georges Léon César Demolon","","9, 8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Georges Maxime Rastel","","","","","","","","","","","","","","","","","","","","","8","8","","","","","","",""
"Georges Meyer","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Georges Oprescu","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","",""
"Georges Paul Solyom","","","","","","","","8","","","","","","","","","","","","","","","","","","","","",""
"Georges Silvain François Charles Kaeckenheeck","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerald Heguerty Furtado Abraham","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","8","8",""
"Geraldo Horacio de Paula Souza","","","","","","","","","","8","8","","","","","","","","","","","","","","","","","",""
"Gerhard Furst","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Giacomo Constantin  Stuyt","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Gijsbert Frans van Dissel","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Giuseppe Righetti","","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","","",""
"Giuseppe Rocca","","","","","8","8","8","8","8","","","","","","","","","","","","","","","","","","","",""
"Giuseppe Tani","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Godfrey Isaac Howard Lloyd","","","","","","","","","","","","","","","","","8","8","8","","","","","","","","","",""
"Gottfried Haberler","","","","","","","","","","","","","","","","8","8","8","","8","","","","","","","","",""
"Grace Isabella Day","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Guido Crolla","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Guillaume Théodore Conrad Zwerner","","","","","","","","","","","8","8","","","","","","","","","","","","","","","","",""
"Guiseppe Bruccoleri","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Gustavo Pittaluga","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Hans-Ulrich von Kotze","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","",""
"Hans Christian Berg","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Hazel K. Stiebeling","","","","","","","","","","","","","","","","","","","8","8","","","","","","","","",""
"Heinz Julius Hugo Truetzschler von Falkenstein","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Helmer Rostgaard Gommesen Rosting","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
"Henri Bonnet","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","",""
"Henri Ernest Reymond","","","","","","","","","","","","8","8","","","","","","","","","","","","","","","",""
"Henri Gabriel Vilatte","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9",""
"Henri Gustave Lamba","","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","","","","",""
"Henri Pierre Hoffer","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Henriette Charlotte Schlesser","","","","","","","","","","","","","","","4","4","4","4","4, 8","8","","","","","","","","",""
"Henry Reginald Cummings","","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","",""
"Hessel Duncan Hall","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Hideo Masutani","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"Howard Riggins Huston","","","","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","",""
"Hugh Darvill Watson","","","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Hugh McKinnon Wood","","","","","","","","","","","","","","","","","","","","","9","9","","","","","","",""
"Humphrey Charles Mynors","","","","","","","","8","","","","","","","","","","","","","","","","","","","","",""
"Huntington Gilchrist","","","","","","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Ian Fleming","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"Ionel Mocsonyi-Styrcea","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Ivan  Milec","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Ivan Kerno","","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Jacob Ludwig Maria Metternich","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Jal Jemshid Dalal","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"James Alistair Brown","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"James Arthur Salter","9","9","9","9","9","9","9","9","9","9","9","9","9, 8","","","","","","","","","","","","","","","",""
"James Edward Meade","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Jan  van Waltré de Bordes","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Jan Tinbergen","","","","","","","","","","","","","","","","","","8","8","8","","","","","","","","",""
"Jan Tingbergen","","","","","","","","","","","","","","","","","","8","8","8","","","","","","","","",""
"Jan Vaclac Hyka","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Jaques Léon Rueff","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","","","",""
"Jean Daniel de Montenach","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Jean Henri Bieler","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Jean Pierre Kremer","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Jean Vallery-Radot","","","","","","","","","","","","","","","","","","","","","9","9","","","","","","",""
"Jessie Irene Wall","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"Johan Ansgar Esaias Rosenborg","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Johan Marie Frans Romein","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","",""
"John Henry Chapman","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"John Leslie Palmer","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","8","8","","","","","","","",""
"John Lindberg","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","","",""
"John MacKey Hodge","","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","",""
"John Marcus Fleming","","","","","","","","","","","","","","","","","8","8","8","","","","","","","","","",""
"John Pawley Bate","8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"John Raeburn Green","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"José H. Porto","","","","","","","","8","8","8","","","","","","","","","","","","","","","","","","",""
"José Lebre Barbosa Magalhaes","","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","",""
"José Pla","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Joseph Adamek","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8",""
"Joseph Gabriel Starke","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","","","",""
"Joseph Hippolyte Marie Ghislain Nisot","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Joseph Vivian Wilson","","","","","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","","","","","","",""
"Jost Terhaar","","","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","",""
"Joycelyn  Horn","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","",""
"Juan Antonio Buero","","","","","","","","","","9","9","9","9","9","9","9","9","","","","","","","","","","","",""
"Juan de las Barcenas","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Juan Schwartz y Dias-Flores","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Juan Teixidor y Sanchez","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Julian Nogueira","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Julienne Christine Piachaud née Mayras","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Kaneo Tsuchida","","","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","",""
"Karel Frolik","","","","","","","","8","","","","","","","","","","","","","","","","","","","","",""
"Karel Lisicky","","","","","","","","","","","","","","","","8","8","8","8","","","","","","","","","",""
"Karen Petersen","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8",""
"Karl Hudeczek","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Karl Ott","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"Karol Pindór","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Konni Zilliacus","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","",""
"Konstanty Symonolewicz","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Laurence Chalmers Tombs","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Leclercq","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Léon Steinig","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Lillie Rhoda Gait","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","",""
"Louis Constant Edgard Muller","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Louis Emile Roux","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
