"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"919","Mellie Julia Hobbs",6.25,0.5,6,26,24,"female","british"
"920","Muriel Agnes King",6,0,6,96,31,"female","british"
"921","Romain Jules Godet",4.8,1.6431676725155,6,-1,28,"male","french"
"922","Silvia Jane Godet née Thomas",4,0,4,182,23,"female","french"
"923","Béatrice  Goerg",6.33333333333333,0.577350269189626,6,174,19,"female","swiss"
"924","Maria Catherine  Goeschmann",9,0,9,104,35,"female","swiss"
"925","Gottfried Goetz",9,0,9,4,51,"male","swiss"
"926","Jean-Jacques Goetz",7,0,7,1,18,"male","swiss"
"927","Tamara Goetze",6.33333333333333,0.816496580927726,6,1,23,"female","russian"
"928","Muriel Dallow",6,0,6,1,30,"female","british"
"929","Alice Golay",8,0,8,1,24,"female","swiss"
"930","Muriel Irene Lawrence",8,0,8,1,18,"female","british"
"931","Natalie G. D. Bailey",6,0,6,1,47,"female","british"
"932","Maraya Geerteruda Autonia Goldman",8,0,8,1,23,"female","dutch"
"933","Norah Blanche Davies",6,0,6,135,29,"female","british"
"934","Marianne Goldschild",6,0,6,1,31,"female","french"
"935","Olive Lilian Harrington",6,0,6,1,30,"female","british"
"936","Oswald George Hunter",6,0,6,1,40,"male","british"
"937","Patricia Longley",3,0,3,1,NA,"female","british"
"938","Ruth Eunice Mildred Edwards",6,0,6,178,30,"female","british"
"939","Edouard Gollion",8,0,8,7,31,"male","swiss"
"940","Etienne Gombo",3,0,3,82,29,"male","hungarian"
"941","Eva Gommes née Neill",7,1.4142135623731,7,75,23,"female","english"
"942","Eugène Gonthier",8,0,8,16,45,"male","swiss"
"943","Jeanne Gonthier",7,0,7,1,19,"female","swiss"
"944","Marthe Gonthier",7,0,7,1,20,"female","swiss"
"945","Edward Brerston Goodacre",3,0,3,179,30,"male","english"
"946","Heron Charles Goodhart",3,0,3,3,48,"male","english"
"947","Sidney Lock",6,0,6,24,NA,"male","british"
"948","Rosa Gordon",6.5,0.707106781186548,6.5,1,32,"female","latvian"
"949","Charles Gos",6,0,6,1,47,"male","swiss"
"950","Charles Gossweiler",7,0,7,3,23,"male","swiss"
"951","St Clair Knight",8,0,8,1,25,"female","british"
"952","Sybil Hescott",6,0,6,1,28,"female","british"
"953","Ursula Harris",6,0,6,1,26,"female","british"
"954","Vera Campbell",3,0,3,1,NA,"female","british"
