"name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"Efraim Cardoso",4,0,4,25,33,"male","paraguayan"
"Mario Salandra",4,0,4,3,NA,"male","italian"
"James Arthur Salter",1.33333333333333,0.577350269189626,1,145,38,"male","english"
"Maui Sanasan",2,0,2,186,27,"male","thai"
"Luis Sanchez Pontón",4,0,4,156,44,"male","mexican"
"William Stephen Sanders",2,0,2,3,49,"male","english"
"André Sayous",2,0,2,8,NA,"male","french"
"Marquis Emanuele Schinina",2,0,2,60,35,"male","italian"
"Henriette Charlotte Schlesser",3.5,1.91485421551268,3,213,43,"female","french"
"Manuel Perez-Guerrero",2,0,2,33,NA,"male","venezuelan"
"Carlo Perrone Capano",2,0,2,1,NA,"male","italian"
"Giuseppe Piazza",4,0,4,9,NA,"male","italian"
"Luca Pietromarchi",2,0,2,84,NA,"male","italian"
"Prof. José Pijoan",2,0,2,2,NA,"male","spanish"
"Werner Karl August Günther von Schmieden",2.66666666666667,1.15470053837925,2,82,35,"male","german"
"Purushottama Padmanabha Pillai",2,0,2,44,NA,"male","indian"
"Massimo Pilotti",1,0,1,NA,NA,"male","italian"
"M.L. Pin Malakul",2,0,2,1,NA,"male","siamese"
"Charles Schonberger",2,0,2,NA,NA,"male","austrian"
"Karol Pindór",2,0,2,24,NA,"male","polish"
"Peter Christian Schou",1,0,1,11,53,"male","dane"
"Mitchell Benedict Carroll",2,0,2,36,32,"male","us-american"
"Fernando Maria Castiella",2,0,2,1,NA,"male","unknown"
"Dr. Abel Romeo Castillo",2,0,2,1,NA,"male","spanish"
"Virginia Castro e Almeida",2,0,2,6,52,"female","unknown"
"Ramirez Castro",4,0,4,47,NA,"male","salvadorian"
"Antonio Casulli",4,0,4,67,41,"male","italian"
"Wilhelm Friedrich Schubert",2,0,2,62,26,"male","austrian"
"Eugéne  Catargi",2,0,2,1,34,"male","romanian"
"Vito Catastini",1.5,0.577350269189626,1.5,195,42,"male","italian"
"Juan Schwartz y Dias-Flores",2,0,2,104,35,"male","spanish"
"Torsten Cederlund",2,0,2,1,NA,"male","swedish"
"Dr. Mihail Sebastian",2,0,2,1,NA,"male","romanian"
"Joseph Seifert",2,0,2,1,NA,"male","unknown"
"Boleslaw Celinski",2,0,2,126,32,"male","polish"
"Angel Maria Cespedes",2,0,2,185,33,"male","unknown"
"Min-King Chan",2,0,2,1,NA,"male","chinese"
"Prof. A. K.  Chanda",2,0,2,1,NA,"female","unknown"
"John Henry Chapman",2,0,2,298,35,"male","new_zealander"
"René Marie Frédéric Charron",1,0,1,164,38,"male","french"
"Arthur Szyk",2,0,2,1,NA,"male","unknown"
"J. M. Sen",2,0,2,1,NA,"male","indian"
"Axel Serup",2,0,2,1,NA,"male","dane"
"Amulya Chandra Chatterjee",2,0,2,67,50,"male","indian"
"Armando Servin",2,0,2,6,NA,"male","mexican"
"Prof. P. Seshadri",2,0,2,1,NA,"male","indian"
"Tietse Pieter Sevensma",6,0,6,133,48,"male","dutch"
"Ikbal Ali Shah",2,0,2,3,NA,"male","english"
"Brij Mohan Sharma",5,1.4142135623731,5,1,46,"male","indian"
"M. Sherko",2,0,2,1,NA,"male","albanian"
"Shou Kien Shu",3,0,3,6,NA,"male","chinese"
"Sie-Kang",4,2.82842712474619,4,52,33,"male","chinese"
"Victor Sifton",2,0,2,1,NA,"male","canadian"
"Leonidas L. Silva",2,0,2,1,NA,"male","argentinian"
"Jaroslav Simsa",2,0,2,1,NA,"male","czech"
"Pierre Marc Siraud",2,0,2,61,28,"male","french"
"Lumo Skendo",2,0,2,12,NA,"male","albanian"
"Arnolds Skrebers",2,0,2,1,NA,"male","latvian"
"Vladimir Slavik",2,0,2,94,36,"male","czech"
"Nokhem/Nahim Sloutzki",3.5,1.73205080756888,3,303,31,"male","unknown"
"Charles Eugène Aloïs Marie Smets",1.33333333333333,1.15470053837925,2,198,41,"male","unknown"
"Arnold Cartwell Smith",2,0,2,1,NA,"male","canadian"
"Georges Paul Solyom",3.66666666666667,2.08166599946613,3,58,23,"male","swiss"
"R.G. Somervell",2,0,2,24,NA,"male","english"
"Ann Margaret Lewis",6,0,6,13,26,"female","british"
"Jan  van Waltré de Bordes",2,0,2,174,27,"male","dutch"
"Joseph Borovicka",2,0,2,1,NA,"male","czech"
"Aurobindo Bose",2,0,2,1,47,"male","indian"
"Anne Terrace Heggie",6,0,6,8,39,"female","british"
"Emile Bouvier",2,0,2,1,NA,"male","french"
"Dermot Bowers",2,0,2,1,NA,"male","irish"
"Magister Morton Bredsdorff",2,0,2,1,NA,"male","dane"
"Professor Pavel Breznik",2,0,2,1,36,"male","yugoslav"
"Alfred Briedis",2,0,2,1,NA,"male","latvian"
"Rameshwari Nehru",2,0,2,1,NA,"female","indian"
"A.J.  Brink",2,0,2,1,NA,"male","english"
